,,,"EQY_FUND_CRNCY=USD,SCALING_FORMAT=BLN",,"SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD","SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD",,,,,,,BEST_FPERIOD_OVERRIDE=1GY,,,
CHTR US Equity,USD,CHARTER COMMUNICATIONS INC-A,2.6,4.6,  81 ,  70 ,38.0,  1.32 ,  0.37 ,Communication Services,Media,Media & Entertainment,29.0,29%,  30 ,  60 
DEO US Equity,GBP,DIAGEO PLC-SPONSORED ADR,3.4,2.1,  87 ,  12 ,22.6,  2.55 ,  2.44 ,Consumer Staples,Beverages,"Food, Beverage & Tobacco",7.0,42%,  30 ,  217 
TROW US Equity,USD,T ROWE PRICE GROUP INC,1.0,-0.8,  23 ,  (2),33.1,  22.74 ,  2.11 ,Financials,Capital Markets,Diversified Financials,17.0,67%,  30 ,  998 
NFLX US Equity,USD,NETFLIX INC,-2.1,3.1,  126 ,  4 ,67.5,  1.26 ,  0.63 ,Communication Services,Entertainment,Media & Entertainment,44.0,74%,  30 ,  71 
PII US Equity,USD,POLARIS INDUSTRIES INC,0.2,2.5,  6 ,  1 ,43.5,  2.09 ,  1.48 ,Consumer Discretionary,Leisure Products,Consumer Durables & Apparel,19.0,162%,  30 ,  146 
GATX US Equity,USD,GATX CORP,-0.2,6.4,  3 ,  4 ,41.0,  204.09 ,  3.48 ,Industrials,Trading Companies & Distributo,Capital Goods,8.0,18%,  30 ,  649 
EOG US Equity,USD,EOG RESOURCES INC,1.2,0.7,  59 ,  6 ,42.1,  0.46 ,  0.69 ,Energy,"Oil, Gas & Consumable Fuels",Energy,37.0,52%,  31 ,"  1,104 "
ZBRA US Equity,USD,ZEBRA TECHNOLOGIES CORP-CL A,0.7,2.5,  10 ,  2 ,44.0,  1.73 ,  3.24 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,8.0,92%,  31 ,  490 
EXPD US Equity,USD,EXPEDITORS INTL WASH INC,0.5,-1.2,  13 ,  (1),32.2,  5.32 ,  2.83 ,Industrials,Air Freight & Logistics,Transportation,17.0,244%,  31 ,  705 
ROL US Equity,USD,ROLLINS INC,0.2,-0.3,  13 ,  (0),24.2,  3.98 ,  7.34 ,Industrials,Commercial Services & Supplies,Commercial & Professional Serv,6.0,165%,  31 ,  627 
LPX US Equity,USD,LOUISIANA-PACIFIC CORP,0.4,-0.8,  3 ,  (1),42.7,  (0.44),  0.24 ,Materials,Paper & Forest Products,Materials,11.0,120%,  31 ,  418 
TCEHY US Equity,CNY,TENCENT HOLDINGS LTD-UNS ADR,#N/A N/A,0.2,  358 ,  (2),66.7,  2.11 ,#VALUE!,Communication Services,Interactive Media & Services,Media & Entertainment,2.0,49%,  31 ,  1 
700 HK Equity,CNY,TENCENT HOLDINGS LTD,#N/A N/A,0.2,  353 ,  (2),60.7,  1.19 ,  0.69 ,Communication Services,Interactive Media & Services,Media & Entertainment,49.0,49%,  31 ,  72 
CPRT US Equity,USD,COPART INC,0.2,0.2,  12 ,  0 ,37.3,  1.95 ,  0.76 ,Industrials,Commercial Services & Supplies,Commercial & Professional Serv,12.0,84%,  31 ,  670 
GGAL US Equity,ARS,GRUPO FINANCIERO GALICIA-ADR,-0.6,-1.2,  4 ,  (2),80.1,  0.61 ,  0.33 ,Financials,Banks,Banks,13.0,23%,  31 ,  973 
POL US Equity,USD,POLYONE CORPORATION,0.2,3.2,  3 ,  1 ,54.7,  1.28 ,  0.87 ,Materials,Chemicals,Materials,11.0,129%,  32 ,  416 
R US Equity,USD,RYDER SYSTEM INC,-1.2,3.4,  3 ,  5 ,36.0,  1.12 ,  0.71 ,Industrials,Road & Rail,Transportation,13.0,68%,  32 ,  686 
MKC US Equity,USD,MCCORMICK & CO-NON VTG SHRS,0.7,4.8,  20 ,  5 ,19.5,  3.54 ,  3.07 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",14.0,52%,  32 ,  231 
VIAB US Equity,USD,VIACOM INC-CLASS B,1.9,3.2,  13 ,  10 ,38.9,  0.92 ,  4.54 ,Communication Services,Entertainment,Media & Entertainment,28.0,55%,  32 ,  59 
RHI US Equity,USD,ROBERT HALF INTL INC,0.5,-0.6,  8 ,  (0),45.4,  1.57 ,  2.38 ,Industrials,Professional Services,Commercial & Professional Serv,13.0,286%,  33 ,  685 
BIO US Equity,USD,BIO-RAD LABORATORIES-A,0.1,-1.3,  8 ,  (0),29.1,  1.48 ,  1.12 ,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",6.0,42%,  33 ,  775 
JKHY US Equity,USD,JACK HENRY & ASSOCIATES INC,0.4,-0.2,  11 ,  (0),27.7,  2.68 ,  3.04 ,Information Technology,IT Services,Software & Services,10.0,82%,  33 ,  506 
NFX US Equity,USD,NEWFIELD EXPLORATION CO,-0.2,1.6,  4 ,  2 ,68.8,  0.17 ,  0.14 ,Energy,"Oil, Gas & Consumable Fuels",Energy,27.0,44%,  33 ,"  1,084 "
SEIC US Equity,USD,SEI INVESTMENTS COMPANY,0.5,-1.5,  9 ,  (1),30.2,  3.40 ,  1.09 ,Financials,Capital Markets,Diversified Financials,6.0,88%,  33 ,  907 
FAST US Equity,USD,FASTENAL CO,0.5,0.2,  16 ,  0 ,34.1,  2.81 ,  2.87 ,Industrials,Trading Companies & Distributo,Capital Goods,18.0,158%,  34 ,  720 
EVR US Equity,USD,EVERCORE INC - A,0.5,-0.4,  3 ,  (0),34.3,  1.36 ,  (2.49),Financials,Capital Markets,Diversified Financials,8.0,113%,  34 ,  928 
M US Equity,USD,MACY'S INC,1.4,1.6,  10 ,  4 ,46.6,  (0.69),  (3.00),Consumer Discretionary,Multiline Retail,Retailing,20.0,127%,  34 ,  150 
VRSK US Equity,USD,VERISK ANALYTICS INC,0.7,2.2,  20 ,  3 ,28.1,  3.52 ,  2.29 ,Industrials,Professional Services,Commercial & Professional Serv,17.0,41%,  34 ,  710 
STZ US Equity,USD,CONSTELLATION BRANDS INC-A,1.2,3.6,  37 ,  10 ,24.6,  2.24 ,  1.54 ,Consumer Staples,Beverages,"Food, Beverage & Tobacco",25.0,36%,  34 ,  257 
LITE US Equity,USD,LUMENTUM HOLDINGS INC,0.2,-1.4,  3 ,  (0),133.8,  0.73 ,  (14.75),Information Technology,Communications Equipment,Technology Hardware & Equipmen,16.0,94%,  35 ,  545 
SFTBY US Equity,JPY,SOFTBANK GROUP CORP-UNSP ADR,-1.1,4.0,  89 ,  125 ,58.4,#VALUE!,#VALUE!,Communication Services,Wireless Telecommunication Ser,Telecommunication Services,2.0,30%,  35 ,  2 
9984 JT Equity,JPY,SOFTBANK GROUP CORP,-1.1,4.0,  86 ,  125 ,58.7,  0.07 ,  (0.27),Communication Services,Wireless Telecommunication Ser,Telecommunication Services,11.0,30%,  35 ,  30 
PKG US Equity,USD,PACKAGING CORP OF AMERICA,0.6,1.5,  9 ,  2 ,46.0,  1.56 ,  4.22 ,Materials,Containers & Packaging,Materials,14.0,111%,  35 ,  430 
TSCO US Equity,USD,TRACTOR SUPPLY COMPANY,0.4,0.6,  11 ,  0 ,33.0,  2.03 ,  1.72 ,Consumer Discretionary,Specialty Retail,Retailing,28.0,251%,  35 ,  184 
NOC US Equity,USD,NORTHROP GRUMMAN CORP,2.0,2.9,  47 ,  4 ,38.3,  (3.25),  0.87 ,Industrials,Aerospace & Defense,Capital Goods,21.0,89%,  35 ,  732 
EV US Equity,USD,EATON VANCE CORP,0.1,0.1,  5 ,  0 ,31.5,  1.09 ,  1.26 ,Financials,Capital Markets,Diversified Financials,9.0,65%,  36 ,  936 
CRI US Equity,USD,CARTER'S INC,0.2,1.5,  4 ,  0 ,36.8,  1.50 ,  1.47 ,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",Consumer Durables & Apparel,11.0,158%,  36 ,  115 
PFE US Equity,USD,PFIZER INC,15.8,1.2,  250 ,  23 ,28.4,  6.31 ,  3.72 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",22.0,31%,  36 ,  869 
FFIV US Equity,USD,F5 NETWORKS INC,0.7,-2.2,  11 ,  (1),37.8,  2.09 ,  3.23 ,Information Technology,Communications Equipment,Technology Hardware & Equipmen,22.0,85%,  36 ,  560 
STLD US Equity,USD,STEEL DYNAMICS INC,0.9,0.7,  9 ,  1 ,32.4,  (0.58),  (1.00),Materials,Metals & Mining,Materials,15.0,153%,  36 ,  440 
ULTA US Equity,USD,ULTA BEAUTY INC,0.6,-0.4,  19 ,  (0),32.3,  1.42 ,  1.23 ,Consumer Discretionary,Specialty Retail,Retailing,28.0,219%,  36 ,  183 
LSTR US Equity,USD,LANDSTAR SYSTEM INC,0.2,-0.3,  4 ,  (0),27.4,  2.76 ,  2.70 ,Industrials,Road & Rail,Transportation,16.0,338%,  37 ,  704 
SCI US Equity,USD,SERVICE CORP INTERNATIONAL,0.3,3.9,  8 ,  3 ,24.4,  2.31 ,  2.36 ,Consumer Discretionary,Diversified Consumer Services,Consumer Services,4.0,25%,  37 ,  80 
LRCX US Equity,USD,LAM RESEARCH CORP,2.2,-0.4,  23 ,  (2),41.5,  0.44 ,  0.42 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,23.0,94%,  37 ,  565 
CNP US Equity,USD,CENTERPOINT ENERGY INC,0.3,3.1,  14 ,  8 ,19.2,  2.65 ,  2.29 ,Utilities,Multi-Utilities,Utilities,17.0,46%,  37 ,  311 
V US Equity,USD,VISA INC-CLASS A SHARES,12.0,0.1,  287 ,  1 ,38.5,  1.37 ,  1.23 ,Information Technology,IT Services,Software & Services,43.0,30%,  37 ,  599 
FCX US Equity,USD,FREEPORT-MCMORAN INC,3.8,0.9,  17 ,  9 ,49.8,  (0.29),  0.19 ,Materials,Metals & Mining,Materials,24.0,53%,  37 ,  457 
MUSA US Equity,USD,MURPHY USA INC,0.1,1.9,  3 ,  1 ,17.9,  2.62 ,  3.25 ,Consumer Discretionary,Specialty Retail,Retailing,6.0,538%,  37 ,  86 
FII US Equity,USD,FEDERATED INVESTORS INC-CL B,0.2,0.1,  3 ,  (0),37.7,  1.86 ,  7.58 ,Financials,Capital Markets,Diversified Financials,9.0,82%,  38 ,  935 
DISH US Equity,USD,DISH NETWORK CORP-A,2.2,5.0,  15 ,  14 ,50.7,  (0.71),  (0.76),Communication Services,Media,Media & Entertainment,22.0,46%,  38 ,  51 
CMCSA US Equity,USD,COMCAST CORP-CLASS A,14.6,2.2,  175 ,  61 ,32.8,  1.53 ,  0.88 ,Communication Services,Media,Media & Entertainment,35.0,46%,  38 ,  66 
MOMO US Equity,USD,MOMO INC-SPON ADR,0.5,-1.5,  7 ,  (1),74.5,  0.39 ,  0.34 ,Communication Services,Interactive Media & Services,Media & Entertainment,24.0,108%,  38 ,  53 
GIS US Equity,USD,GENERAL MILLS INC,2.2,4.9,  27 ,  15 ,30.7,  2.65 ,  3.40 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",21.0,61%,  38 ,  248 
CHD US Equity,USD,CHURCH & DWIGHT CO INC,0.8,2.0,  16 ,  2 ,40.6,  3.35 ,  2.77 ,Consumer Staples,Household Products,Household & Personal Products,23.0,69%,  39 ,  255 
FMC US Equity,USD,FMC CORP,0.3,2.9,  11 ,  3 ,32.4,  2.80 ,  0.84 ,Materials,Chemicals,Materials,22.0,58%,  39 ,  454 
GWW US Equity,USD,WW GRAINGER INC,0.9,1.3,  17 ,  2 ,47.7,  1.72 ,  1.46 ,Industrials,Trading Companies & Distributo,Capital Goods,21.0,189%,  39 ,  735 
PBF US Equity,USD,PBF ENERGY INC-CLASS A,0.5,1.0,  5 ,  2 ,51.6,  0.10 ,  0.13 ,Energy,"Oil, Gas & Consumable Fuels",Energy,16.0,315%,  39 ,"  1,057 "
HII US Equity,USD,HUNTINGTON INGALLS INDUSTRIE,0.3,1.0,  9 ,  1 ,43.5,  (1.13),  4.51 ,Industrials,Aerospace & Defense,Capital Goods,15.0,129%,  39 ,  694 
LUV US Equity,USD,SOUTHWEST AIRLINES CO,2.6,-0.1,  30 ,  1 ,40.4,  0.84 ,  0.90 ,Industrials,Airlines,Transportation,21.0,84%,  39 ,  733 
CELG US Equity,USD,CELGENE CORP,4.2,3.4,  49 ,  4 ,36.9,  0.37 ,  0.28 ,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",27.0,45%,  39 ,  881 
CHE US Equity,USD,CHEMED CORP,0.2,0.2,  5 ,  0 ,40.1,  4.33 ,  4.13 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,4.0,187%,  39 ,  766 
WM US Equity,USD,WASTE MANAGEMENT INC,1.7,2.4,  39 ,  9 ,20.9,  2.89 ,  2.01 ,Industrials,Commercial Services & Supplies,Commercial & Professional Serv,12.0,68%,  40 ,  668 
ADP US Equity,USD,AUTOMATIC DATA PROCESSING,2.2,0.3,  64 ,  (0),35.4,  1.82 ,  1.36 ,Information Technology,IT Services,Software & Services,23.0,37%,  40 ,  563 
BR US Equity,USD,BROADRIDGE FINANCIAL SOLUTIO,0.6,1.1,  12 ,  1 ,43.0,  2.10 ,  2.05 ,Information Technology,IT Services,Software & Services,7.0,133%,  40 ,  485 
GGG US Equity,USD,GRACO INC,0.3,0.3,  7 ,  0 ,36.2,  3.05 ,  3.06 ,Industrials,Machinery,Capital Goods,11.0,112%,  40 ,  662 
WB US Equity,USD,WEIBO CORP-SPON ADR,#N/A N/A,-1.3,  13 ,  (1),77.5,  0.57 ,  0.41 ,Communication Services,Interactive Media & Services,Media & Entertainment,22.0,70%,  40 ,  52 
MMM US Equity,USD,3M CO,4.5,1.3,  119 ,  10 ,31.6,  2.23 ,  2.21 ,Industrials,Industrial Conglomerates,Capital Goods,22.0,90%,  40 ,  737 
TTC US Equity,USD,TORO CO,0.3,0.1,  6 ,  0 ,24.7,  1.58 ,  1.86 ,Industrials,Machinery,Capital Goods,4.0,165%,  41 ,  620 
KBR US Equity,USD,KBR INC,0.0,1.2,  3 ,  0 ,51.1,  2.36 ,  0.92 ,Industrials,Construction & Engineering,Capital Goods,13.0,107%,  41 ,  683 
AMAT US Equity,USD,APPLIED MATERIALS INC,3.2,0.2,  34 ,  1 ,50.1,  0.39 ,#VALUE!,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,27.0,93%,  41 ,  574 
FICO US Equity,USD,FAIR ISAAC CORP,0.2,2.8,  6 ,  1 ,37.7,  1.63 ,  1.16 ,Information Technology,Software,Software & Services,4.0,82%,  41 ,  472 
NVR US Equity,USD,NVR INC,0.7,0.0,  9 ,  (0),37.0,  3.19 ,  1.73 ,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,6.0,228%,  41 ,  85 
EVTC US Equity,USD,EVERTEC INC,0.2,2.7,  2 ,  1 ,64.2,  1.76 ,  1.49 ,Information Technology,IT Services,Software & Services,7.0,47%,  42 ,  487 
RHHBY US Equity,CHF,ROCHE HOLDINGS LTD-SPONS ADR,14.5,0.6,  213 ,  7 ,28.6,  11.42 ,  5.24 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",3.0,73%,  42 ,  762 
CABO US Equity,USD,CABLE ONE INC,0.2,2.0,  5 ,  1 ,30.0,  1.53 ,  0.95 ,Communication Services,Media,Media & Entertainment,6.0,48%,  42 ,  18 
ACN US Equity,USD,ACCENTURE PLC-CL A,5.4,-0.7,  104 ,  (5),28.9,  2.11 ,  2.11 ,Information Technology,IT Services,Software & Services,29.0,177%,  42 ,  579 
PEP US Equity,USD,PEPSICO INC,5.6,1.7,  165 ,  20 ,20.1,  3.61 ,  2.53 ,Consumer Staples,Beverages,"Food, Beverage & Tobacco",27.0,85%,  42 ,  260 
NSC US Equity,USD,NORFOLK SOUTHERN CORP,1.9,2.1,  47 ,  9 ,34.2,  1.52 ,  1.24 ,Industrials,Road & Rail,Transportation,27.0,31%,  42 ,  754 
SABR US Equity,USD,SABRE CORP,0.5,3.0,  7 ,  3 ,38.4,  1.76 ,  1.22 ,Information Technology,IT Services,Software & Services,13.0,66%,  43 ,  532 
CHRW US Equity,USD,C.H. ROBINSON WORLDWIDE INC,0.7,1.1,  13 ,  1 ,28.4,  2.02 ,  2.87 ,Industrials,Air Freight & Logistics,Transportation,24.0,380%,  43 ,  744 
TXN US Equity,USD,TEXAS INSTRUMENTS INC,5.9,0.0,  94 ,  (0),41.3,  11.35 ,  1.17 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,36.0,89%,  43 ,  594 
SLGN US Equity,USD,SILGAN HOLDINGS INC,0.2,4.5,  3 ,  2 ,38.0,  1.25 ,  1.50 ,Materials,Containers & Packaging,Materials,15.0,87%,  43 ,  439 
AMD US Equity,USD,ADVANCED MICRO DEVICES,0.2,0.4,  21 ,  0 ,103.7,  0.96 ,  0.42 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,35.0,165%,  44 ,  593 
PAYX US Equity,USD,PAYCHEX INC,1.0,-0.3,  24 ,  (0),24.9,  2.79 ,  2.92 ,Information Technology,IT Services,Software & Services,23.0,47%,  44 ,  564 
ITW US Equity,USD,ILLINOIS TOOL WORKS,2.3,1.4,  45 ,  5 ,30.3,  2.48 ,  2.63 ,Industrials,Machinery,Capital Goods,23.0,94%,  44 ,  740 
CBRL US Equity,USD,CRACKER BARREL OLD COUNTRY,0.2,0.7,  4 ,  0 ,23.0,  3.90 ,  (6.49),Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,8.0,199%,  44 ,  89 
JBHT US Equity,USD,HUNT (JB) TRANSPRT SVCS INC,0.1,0.9,  12 ,  1 ,26.7,  0.86 ,  1.20 ,Industrials,Road & Rail,Transportation,25.0,189%,  44 ,  750 
BAK US Equity,BRL,BRASKEM SA-SPON ADR,2.0,2.4,  10 ,  8 ,36.7,  (1.24),  (0.66),Materials,Chemicals,Materials,4.0,98%,  45 ,  397 
JWN US Equity,USD,NORDSTROM INC,0.8,1.0,  10 ,  2 ,38.9,  3.44 ,  2.28 ,Consumer Discretionary,Multiline Retail,Retailing,25.0,190%,  45 ,  171 
TREX US Equity,USD,TREX COMPANY INC,0.1,-0.6,  3 ,  (0),47.6,  2.40 ,  1.98 ,Industrials,Building Products,Capital Goods,7.0,179%,  47 ,  634 
OMC US Equity,USD,OMNICOM GROUP,1.8,1.2,  17 ,  1 ,32.6,  6.26 ,  1.83 ,Communication Services,Media,Media & Entertainment,18.0,69%,  48 ,  46 
ADS US Equity,USD,ALLIANCE DATA SYSTEMS CORP,2.7,1.0,  11 ,  2 ,34.8,  0.85 ,  0.45 ,Information Technology,IT Services,Software & Services,30.0,27%,  49 ,  582 
FDS US Equity,USD,FACTSET RESEARCH SYSTEMS INC,0.6,0.7,  9 ,  0 ,22.8,  2.08 ,  2.27 ,Financials,Capital Markets,Diversified Financials,17.0,95%,  49 ,  999 
CBS US Equity,USD,CBS CORP-CLASS B NON VOTING,0.9,3.6,  21 ,  10 ,33.9,  0.97 ,  0.53 ,Communication Services,Media,Media & Entertainment,33.0,64%,  49 ,  64 
AAPL US Equity,USD,APPLE INC,64.1,-1.5,  908 ,  (123),42.2,  1.24 ,  1.24 ,Information Technology,"Technology Hardware, Storage &",Technology Hardware & Equipmen,49.0,72%,  49 ,  604 
AVGO US Equity,USD,BROADCOM INC,7.4,1.6,  98 ,  6 ,46.9,  1.81 ,  1.31 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,37.0,40%,  49 ,  595 
MAR US Equity,USD,MARRIOTT INTERNATIONAL -CL A,1.8,3.4,  40 ,  8 ,35.4,  4.60 ,  1.17 ,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,26.0,89%,  50 ,  174 
MBT US Equity,RUB,MOBILE TELESYSTEMS-SP ADR,1.5,1.9,  8 ,  4 ,37.4,  0.74 ,  1.04 ,Communication Services,Wireless Telecommunication Ser,Telecommunication Services,18.0,68%,  50 ,  47 
ROST US Equity,USD,ROSS STORES INC,1.5,-0.4,  36 ,  (1),21.4,  2.01 ,  1.62 ,Consumer Discretionary,Specialty Retail,Retailing,30.0,257%,  51 ,  193 
SID US Equity,BRL,CIA SIDERURGICA NACL-SP ADR,#N/A N/A,3.3,  4 ,  8 ,62.8,  (0.19),  0.55 ,Materials,Metals & Mining,Materials,4.0,49%,  52 ,  400 
IP US Equity,USD,INTERNATIONAL PAPER CO,1.9,2.9,  19 ,  10 ,46.2,  1.76 ,  2.54 ,Materials,Containers & Packaging,Materials,16.0,68%,  53 ,  443 
BF/B US Equity,USD,BROWN-FORMAN CORP-CLASS B,0.5,2.0,  23 ,  2 ,28.9,  2.86 ,  2.40 ,Consumer Staples,Beverages,"Food, Beverage & Tobacco",19.0,67%,  53 ,  242 
CSX US Equity,USD,CSX CORP,2.2,2.1,  61 ,  11 ,34.3,  1.60 ,  1.31 ,Industrials,Road & Rail,Transportation,27.0,33%,  54 ,  753 
CIEN US Equity,USD,CIENA CORP,0.2,0.1,  5 ,  0 ,33.3,  0.55 ,  1.01 ,Information Technology,Communications Equipment,Technology Hardware & Equipmen,23.0,92%,  55 ,  562 
SAIC US Equity,USD,SCIENCE APPLICATIONS INTE,0.2,2.8,  3 ,  1 ,32.6,  3.04 ,  1.89 ,Information Technology,IT Services,Software & Services,8.0,224%,  55 ,  493 
MU US Equity,USD,MICRON TECHNOLOGY INC,8.5,-0.1,  45 ,  (3),51.5,  (0.72),  (0.65),Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,34.0,77%,  55 ,  592 
AIV US Equity,USD,APARTMENT INVT & MGMT CO -A,-0.2,6.5,  7 ,  4 ,22.1,  (1.67),  1.12 ,Real Estate,Equity Real Estate Investment,Real Estate,17.0,16%,  56 ,  365 
KR US Equity,USD,KROGER CO,0.6,2.9,  24 ,  15 ,35.0,  2.35 ,  1.30 ,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,26.0,338%,  56 ,  259 
TGNA US Equity,USD,TEGNA INC,0.3,4.8,  3 ,  3 ,41.1,  (0.40),  0.12 ,Communication Services,Media,Media & Entertainment,13.0,37%,  56 ,  36 
WYNN US Equity,USD,WYNN RESORTS LTD,-0.3,5.2,  12 ,  7 ,71.8,  (2.90),  0.47 ,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,20.0,54%,  56 ,  148 
ZTS US Equity,USD,ZOETIS INC,1.5,2.3,  44 ,  3 ,28.7,  2.33 ,  2.03 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",16.0,58%,  57 ,  832 
SHW US Equity,USD,SHERWIN-WILLIAMS CO/THE,1.8,3.8,  39 ,  10 ,34.1,  1.37 ,  1.24 ,Materials,Chemicals,Materials,30.0,86%,  57 ,  462 
FISV US Equity,USD,FISERV INC,1.1,2.0,  32 ,  5 ,32.3,  1.78 ,  1.73 ,Information Technology,IT Services,Software & Services,22.0,55%,  58 ,  561 
UNP US Equity,USD,UNION PACIFIC CORP,4.9,1.9,  112 ,  16 ,27.2,  1.21 ,  1.16 ,Industrials,Road & Rail,Transportation,30.0,39%,  59 ,  760 
NVDA US Equity,USD,NVIDIA CORP,3.4,-1.3,  123 ,  (5),73.1,  2.23 ,  0.93 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,42.0,106%,  59 ,  598 
CLB US Equity,USD,CORE LABORATORIES N.V.,0.1,1.8,  4 ,  0 ,38.1,  1.98 ,  0.80 ,Energy,Energy Equipment & Services,Energy,19.0,112%,  60 ,"  1,063 "
KLAC US Equity,USD,KLA-TENCOR CORP,1.2,-0.3,  14 ,  (1),43.6,  4.25 ,  1.10 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,15.0,73%,  61 ,  542 
URI US Equity,USD,UNITED RENTALS INC,0.2,2.9,  10 ,  9 ,66.5,  0.42 ,  0.60 ,Industrials,Trading Companies & Distributo,Capital Goods,19.0,51%,  61 ,  723 
TJX US Equity,USD,TJX COMPANIES INC,2.4,-0.1,  65 ,  (1),20.2,  1.95 ,  1.80 ,Consumer Discretionary,Specialty Retail,Retailing,30.0,279%,  61 ,  192 
SYY US Equity,USD,SYSCO CORP,1.7,2.5,  34 ,  8 ,36.3,  1.75 ,  2.10 ,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,18.0,321%,  61 ,  239 
MANH US Equity,USD,MANHATTAN ASSOCIATES INC,0.1,-0.6,  3 ,  (0),41.0,  (1.97),  11.81 ,Information Technology,Software,Software & Services,5.0,181%,  62 ,  477 
NGVT US Equity,USD,INGEVITY CORP,0.1,2.4,  4 ,  0 ,53.5,  0.86 ,  0.81 ,Materials,Chemicals,Materials,7.0,99%,  62 ,  409 
EXEL US Equity,USD,EXELIXIS INC,0.3,-1.7,  5 ,  (0),77.7,  43.48 ,  0.38 ,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",13.0,91%,  64 ,  810 
LYB US Equity,USD,LYONDELLBASELL INDU-CL A,3.8,1.0,  36 ,  6 ,29.9,  (1.95),  0.42 ,Materials,Chemicals,Materials,21.0,146%,  64 ,  452 
GSK US Equity,GBP,GLAXOSMITHKLINE PLC-SPON ADR,6.8,3.7,  100 ,  18 ,24.8,  6.33 ,  2.15 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",6.0,52%,  65 ,  776 
ALLE US Equity,USD,ALLEGION PLC,0.4,2.1,  8 ,  1 ,29.2,  1.74 ,  1.99 ,Industrials,Building Products,Capital Goods,12.0,102%,  65 ,  667 
ABC US Equity,USD,AMERISOURCEBERGEN CORP,1.1,0.9,  19 ,  2 ,39.2,  1.38 ,  1.05 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,17.0,460%,  65 ,  834 
INTU US Equity,USD,INTUIT INC,2.0,-0.7,  55 ,  (1),44.7,  2.32 ,  1.90 ,Information Technology,Software,Software & Services,21.0,129%,  65 ,  559 
SPG US Equity,USD,SIMON PROPERTY GROUP INC,2.6,5.4,  56 ,  23 ,24.8,  4.16 ,  (3.46),Real Estate,Equity Real Estate Investment,Real Estate,22.0,18%,  66 ,  382 
CHDN US Equity,USD,CHURCHILL DOWNS INC,-0.9,3.2,  4 ,  1 ,43.2,  0.86 ,  1.88 ,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,3.0,48%,  67 ,  77 
LOW US Equity,USD,LOWE'S COS INC,4.6,1.7,  76 ,  16 ,27.8,  0.88 ,  0.88 ,Consumer Discretionary,Specialty Retail,Retailing,33.0,191%,  69 ,  197 
K US Equity,USD,KELLOGG CO,0.9,3.4,  22 ,  8 ,35.2,  (625.34),  5.30 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",23.0,80%,  74 ,  254 
MO US Equity,USD,ALTRIA GROUP INC,7.1,1.2,  108 ,  13 ,27.7,  1.58 ,  1.68 ,Consumer Staples,Tobacco,"Food, Beverage & Tobacco",19.0,44%,  77 ,  245 
MTD US Equity,USD,METTLER-TOLEDO INTERNATIONAL,0.4,1.2,  15 ,  1 ,31.2,  2.38 ,  2.11 ,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",15.0,115%,  78 ,  823 
VZ US Equity,USD,VERIZON COMMUNICATIONS INC,16.3,2.5,  244 ,  115 ,21.7,  16.75 ,  8.83 ,Communication Services,Diversified Telecommunication,Telecommunication Services,34.0,50%,  79 ,  65 
NKTR US Equity,USD,NEKTAR THERAPEUTICS,0.7,-1.5,  7 ,  (0),85.6,#VALUE!,#VALUE!,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",11.0,88%,  80 ,  803 
CAR US Equity,USD,AVIS BUDGET GROUP INC,-9.5,4.6,  2 ,  12 ,68.5,  1.11 ,  0.40 ,Industrials,Road & Rail,Transportation,9.0,46%,  81 ,  652 
